entry,url
Su la testa – Gianni Lannes,sulatestagiannilannes.blogspot.com
Tanker Enemy – blog,tankerenemy.com
Action News 3,actionnews3.com
Alt-Right TV,altrighttv.com
Amity Underground,amityunderground.com
Britain First,britainfirst.org
Conservative Buzz,conservativebuzz.com
Council of Conservative Citizens,merica1st.com
DC Alert,dcalert.com
Fars News,en.farsnews.com
FBNewsCycle,fbnewscycle.com
Freedom Outpost,freedomworks.org
FreedomProject Media,freedomproject.com
Hoodsite,hoodsite.com
Korean Central News Agency,kcna.kp
LADbible,ladbible.com
Liberty Unyeilding,libertynews.com
National Policy Institute,geopol.institute
Next News Network,youtube.com/nextnewsnetwork
Patriot Crier,patriotcrier.com
Personal Liberty,personalliberty.com
Polipace,polipace.com
RedState,redstate.com
Right Wing Tribune,rightwingtribune.com
Rodong Sinmun (North Korea),rodong.rep.kp/en
Summit News,summit.news
Syria News,syrianews.cc
The African Exponent,africanexponent.com
The Boston Tribune,thebostontribune.com
The Buffalo Chronicle,buffalochronicle.com
The Constitution,constitutionproject.org
The Politics Online,thepolitics.online
The Red Elephants,theredelephants.com
The Science News Reporter,thescinewsreporter.com
The Sons of Liberty Media,sonsoflibertymedia.com
The Washington Standard,facebook.com/thewashingtonstandard
Autism Investigated,autisminvestigated.com
Ecology News,ecology.news
Global Skywatch,globalskywatch.com
International Climate Science Coalition (ICSC),climatescienceinternational.org
NeuroNation,sp.neuronation.com/en
Occupy Yourself,occupyyourself.org
OffGuardian,off-guardian.org
Southfront,southfront.org
Abort73,abort73.com
America First Action SuperPAC,a1apac.org
Badger Institute,badgerinstitute.org
Center for Freedom and Prosperity,freedomandprosperity.org
Eagle Pass News Leader,epnewsleader.com
Regated News,regated.com
The Conservative Opinion,theconservativeopinion.com
Aleteia,aleteia.org
Angus Reid Institute,angusreid.org
Argus Leader,argusleader.com
Asharq Al-Awsat,aawsat.com/english
Barron’s,barrons.com
Buenos Aires Times,batimes.com.ar
Firearms News,firearmsnews.com
Fort Bend Herald,fbherald.com
Greeley Tribune,greeleytribune.com
Lubbock Avalanche Journal,lubbockonline.com
Malaysia Today,malaysia-today.net
Nikkei Asian Review,asia.nikkei.com
Odessa American,oaoa.com
Omaha World Herald,omaha.com
Post-Bulletin,postbulletin.com
Regulation Magazine,cato.org/regulation
Richmond Times-Dispatch,richmond.com
The Citizen,citizen.co.za
The Daily Citizen (Dalton),daltondailycitizen.com
The Elkhart Truth,elkharttruth.com
The Jerusalem Report,jpost.com/Jerusalem-Report
The Winchester Star,winchesterstar.com
Tulsa World,tulsaworld.com
Areo Magazine,areomagazine.com
Asia Sentinel,asiasentinel.com
Brampton Guardian,bramptonguardian.com
Corpus Christi Caller-Times,caller.com
Daily Hampshire Gazette,gazettenet.com
Denver Westword,westword.com
Econofact,econofact.org
Euromaiden Press,euromaidanpress.com
Google News,news.google.com
Greensboro News and Record,greensboro.com
Kyiv Post,kyivpost.com
Malaysiakini,malaysiakini.com
Mothership,mothership.sg
Philadelphia Tribune,phillytrib.com
PRI,pri.org
St. Louis Post-Dispatch,stltoday.com
Syrian Observatory for Human Rights (SOHR),syriahr.com
The Asbury Park Press,app.com
The Bipartisan Press,thebipartisanpress.com
The Brownsville Herald,brownsvilleherald.com
The Center for Economic Policy and Research (CEPR),cepr.net
The Observer (UK),theguardian.com/observer
The Santa Fe New Mexican,santafenewmexican.com
Timeline,timeline.com
Times Colonist,timescolonist.com
Aftonbladet,aftonbladet.se
Al DIA,aldianews.com
Alt News,altnews.in
American Oversight,americanoversight.org
Comic Sands,comicsands.com
Daily Kos,dailykos.com
Daily News bin,dailynewsbin.com
Democracy Guardian,democracyguardian.com
Detroit Metro News,metrotimes.com
ExtraNewsFeed,extranewsfeed.com
Seventeen,seventeen.com
Smirking Chimp,smirkingchimp.com
Vote,vote.us.org
Washington Daily Wire,washingtondailywire.com
Adweek,adweek.com
Air Force Times,airforcetimes.com
AllAfrica,allafrica.com
APTN National News,aptnnews.ca
Army Times,armytimes.com
Biloxi Sun Herald,sunherald.com
Bozeman Daily Chronicle,bozemandailychronicle.com
Burnett County Sentinel,burnettcountysentinel.com
Daily Journal (Illinois),daily-journal.com
Denton Record-Chronicle,dentonrc.com
Eagle Tribune,eagletribune.com
Elko Daily Free Press,elkodaily.com
Hastings Tribune,hastingstribune.com
How-To Geek,howtogeek.com
Longview News-Journal,news-journal.com
MLive (Michigan – Booth Newpapers),mlive.com
Norfolk Daily News,norfolkdailynews.com
South Bend Tribune,southbendtribune.com
Statesville Record & Landmark,statesville.com
Statista,statista.com
Telegram & Gazette,telegram.com
The Battlefords News Optimist,newsoptimist.ca
The Herald Journal (Utah),news.hjnews.com
The Herald News (Massachusetts),heraldnews.com
The Herald-Dispatch,herald-dispatch.com
The Monitor (Texas),themonitor.com
The Register UK,theregister.co.uk
The Star Democrat,stardem.com
Traverse City Record-Eagle,record-eagle.com
Washington Journal (C-Span),c-span.org/WJ
Winona Daily News,winonadailynews.com
Winston-Salem Journal,journalnow.com
WRAL,wral.com
Borowitz Report,newyorker.com/humor/borowitz-report
Flake News,flake.news
Potatriots Unite (potatriotsunite),potatriotsunite.com
Viral Actions,viralactions.com
Alliance for Science,allianceforscience.cornell.edu
American Journal of Public Health (AJPH),ajph.aphapublications.org
Health Affairs Journal,healthaffairs.org
Precision Vaccinations,precisionvaccinations.com
Sage Journals,journals.sagepub.com
Science Direct,sciencedirect.com
Significant Magazine,significancemagazine.com
Skeptical Inquirer,skepticalinquirer.org
Vaxopedia,vaxopedia.org
82.221.129.208,82.221.129.208
Silver-Coin-Investor. com,Silver-Coin-Investor.com